EMPID,Status,Function,Division,Union Status,Employment Category,Rehire_Date,Total Service Date,Birth Date,Age,Generation,Pay Scale Group,Gender,Ethnic Origin,Action Reason,Last Performance Rating,Last Potential Rating,Rehired,Employee Pay Frequency,ExemptTF,Employee Pay Basis,Manager_ID,Months Since Last Hire,Tenure_Months,Action Change Date,Action Type
21910,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,27-Sep-05,21-Oct-03,7-Apr-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,T,Bi-Weekly,F,Hourly,S1140,121,144,,
26480,Active,Operations,Product,Non-Union,Regular Employee FT,,26-Apr-06,1-Apr-62,53,Boomer,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S593,114,114,,
2004,Active,Sales,Sales,Non-Union,Regular Employee FT,,6-Apr-82,30-Mar-62,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,T,Salary,S4591,403,403,,
9913,Active,Customer Care,Customer Care,Union,Regular Employee FT,,20-Aug-96,28-Mar-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3446,230,230,,
29423,Active,Sales,Sales,Union,Regular Employee FT,,23-May-07,28-Mar-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3509,101,101,,
24879,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,21-Jun-05,19-Mar-62,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S1227,124,124,,
3579,Active,Operations,Product,Union,Regular Employee FT,,18-Jun-86,13-Mar-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S489,352,352,,
11680,Active,Operations,Product,Non-Union,Regular Employee FT,,13-Jan-98,13-Mar-62,53,Boomer,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Monthly,T,Salary,S5811,213,213,,
3686,Active,Support,Product,Non-Union,Regular Employee FT,,19-Aug-86,11-Mar-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1659,350,350,,
11503,Active,Sales,Sales,Non-Union,Regular Employee FT,,6-Nov-97,11-Mar-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5796,216,216,,
38989,Active,Operations,Product,Union,Regular Employee FT,,14-Jul-10,10-Mar-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2337,63,63,,
